YearClass	2	3	4	5	6	7	8	9	10	11	12	13	14	15
1974	4.8	0	4.9	22.8	4.8	4.8	0	0	0	3	NaN	NaN	NaN	NaN
1975	0	1.7	6.4	2.4	3.5	5	0	0	4	0	NaN	NaN	NaN	NaN
1976	8.1	1.2	2.5	6.8	4.9	5	1	13	0	0	NaN	NaN	NaN	NaN
1977	0.2	0.2	0.9	5.1	3.7	1	19	2	0	0	NaN	NaN	NaN	NaN
1978	0.9	1	5	3.8	2	20	6	0	0	0	NaN	NaN	NaN	NaN
1979	1.4	3.6	2.3	9	11	16	1	0	0	0.1	NaN	NaN	NaN	NaN
1980	2	2.5	16	6	11	25	2	0	1.5	2	NaN	NaN	NaN	NaN
1981	3.9	20	6	12	47	18	6.3	1.6	0.5	1	NaN	NaN	NaN	NaN
1982	13	15	34	44	39	32.6	4.3	3.1	4.9	0	NaN	NaN	NaN	NaN
1983	5	6	31	34	32.3	13.3	4	4.2	0.6	1.1	NaN	NaN	NaN	NaN
1984	2	0	5	18.3	19	2.2	2.4	0.2	1.7	2.4	NaN	NaN	NaN	NaN
1985	0	1	5.2	16.2	1.7	1.7	0.6	2.8	3.8	0.3	NaN	NaN	NaN	NaN
1986	1	1.8	8.4	3.6	2.1	1.2	5.6	8.2	0.9	0.7	NaN	NaN	NaN	NaN
1987	37.9	1.3	8	4.1	2	10.6	9.6	1.4	2	1.3	NaN	NaN	NaN	NaN
1988	4.3	13.3	25.8	3.9	8.6	11.2	2.8	4.2	3	4.7	NaN	NaN	NaN	NaN
1989	17	23.4	4.6	5.4	4	6.6	6.6	4.1	7.7	5.3	NaN	NaN	NaN	NaN
1990	6.1	1	4.3	1.7	11.5	6.5	5.5	6.7	7.4	3.6	NaN	NaN	NaN	NaN
1991	0.5	1.5	1.2	11.3	3.9	3.3	4.6	5.8	2.7	1.9	NaN	NaN	NaN	NaN
1992	0.2	0.1	4.3	1.3	2	2.3	4.9	2.3	1	4.1	NaN	NaN	NaN	NaN
1993	1.5	1.8	1	1.2	3	4.2	2.6	2	3.2	2.1	NaN	NaN	NaN	NaN
1994	1.7	1.7	0.9	3.6	5.2	4.3	3.1	3.3	1.8	1.2	NaN	NaN	NaN	NaN
1995	1.1	0.4	2.2	2.6	3.5	3.4	2.9	1.2	1	8.5	NaN	NaN	NaN	NaN
1996	0.1	0.4	0.7	1.1	1	1.4	1	0.8	3.7	0.6	NaN	NaN	NaN	NaN
1997	0	0.4	0.5	0.3	0.9	0.6	1	1.1	0.5	0.4	NaN	NaN	NaN	NaN
1998	0.2	0.3	0.2	1.1	0.5	0.7	1	0.4	0.4	0.7	NaN	NaN	NaN	NaN
1999	0.1	NaN	0.1	0.3	0.5	0.8	0.5	0.2	0.4	0.6	NaN	NaN	NaN	NaN
2000	0.1	0.5	0.3	0.3	0.6	0.4	0.1	0.1	0.7	0.3	NaN	NaN	NaN	NaN
2001	0.4	NaN	0.1	0.2	0.2	0.3	0.2	0.8	0.1	1.0	NaN	NaN	NaN	NaN
2002	0.1	NaN	NaN	0.1	0.5	0.4	1.5	0.5	1.0	1.1	NaN	NaN	NaN	NaN
2003	0.1	NaN	0.3	1.0	0.5	4.8	2.1	3.7	1.3	1.9	NaN	NaN	NaN	NaN
2004	0.3	0.5	1.5	0.9	4.4	3.7	7.5	4.1	3.1	3.3	NaN	NaN	NaN	NaN
2005	1.4	1.9	1.4	2.3	3.9	7.2	6.1	6.8	3.1	NaN	NaN	NaN	NaN	NaN
2006	1.2	1.1	0.8	2.1	4.1	3.0	6.1	5.9	NaN	NaN	NaN	NaN	NaN	NaN
2007	0.1	1.2	1.7	2.4	3.6	4.3	7.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2008	1.6	1.8	4.1	2.9	5.8	5.5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2009	1.1	4.4	4.8	2.9	4.8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2010	1.2	1.5	1.9	1.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2011	0.6	1.6	1.6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2012	0.5	0.3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2013	0.4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
